Zitat,Person,Rolle
"Die einzige Grenze, die ein Mensch hat, sind die Grenzen seiner eigenen Vorstellungskraft.", Albert Einstein,Wissenschaftler
"Sei die Veränderung, die du in der Welt sehen möchtest.", Mahatma Gandhi,Politiker
"Das Leben ist das, was passiert, während du eifrig dabei bist, andere Pläne zu machen.", John Lennon,Musiker
"Der Weg zum Erfolg ist, einmal mehr aufzustehen, als man hingefallen ist.", Winston Churchill,Politiker
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Die Zukunft hängt davon ab, was wir heute tun.", Mahatma Gandhi,Politiker
"Man muss das Unmögliche versuchen, um das Mögliche zu erreichen.", Hermann Hesse,Schriftsteller
"Die beste Zeit für einen Neuanfang ist jetzt.", Unbekannt,Unbekannt
"Das Leben ist von Natur aus unbeständig. Nichts bleibt, wie es ist.", Buddha,Religiöse Führungspersönlichkeit
"Die einzige Art, große Arbeit zu leisten, besteht darin, die Arbeit zu lieben.", Steve Jobs,Unternehmer
"Die Zukunft gehört denen, die an die Schönheit ihrer Träume glauben.", Eleanor Roosevelt,Politikerin
"Kreativität ist Intelligenz, die Spaß hat.", Albert Einstein,Wissenschaftler
"Das Geheimnis des Erfolgs ist, den Standpunkt des anderen zu verstehen.", Henry Ford,Unternehmer
"Die Tat unterscheidet das Genie vom Träumer.", Steve Jobs,Unternehmer
"Der einzige Weg, großartige Arbeit zu leisten, ist, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Die größte Ehre, die man einem Menschen antun kann, ist die, dass man zu ihm Vertrauen hat.", Matthias Claudius,Dichter
"Die Zukunft hängt davon ab, was wir heute tun.", Mahatma Gandhi,Politiker
"Die größten Entdeckungen entstehen oft aus einem Missverständnis.", Carl Gustav Jung,Psychiater
"Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.", Antoine de Saint-Exupéry,Schriftsteller
"Die Wahrheit ist wie ein Löwe. Du musst sie nicht verteidigen. Lass sie einfach los, und sie wird sich selbst verteidigen.", Augustinus von Hippo,Theologe
"Der Weg zur Spitze ist mit Leuten gepflastert, die dich runterziehen wollen.", Frank Sinatra,Musiker
"Das Schwierige am Leben ist, Herz und Kopf dazu zu bringen, zusammenzuarbeiten.", Woody Allen,Filmschaffender
"Der wirkliche Wert eines Menschen zeigt sich in seinem Charakter und in seiner Integrität.", Bob Marley,Musiker
"Die wahre Lebenskunst besteht darin, im Alltäglichen das Wunderbare zu sehen.", Pearl S. Buck,Schriftstellerin
"Der Mensch ist nur da ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Seien Sie die Veränderung, die Sie in der Welt sehen wollen.", Mahatma Gandhi,Politiker
"Die größte Freude ist die, die wir beim Erschaffen empfinden.", Albert Einstein,Wissenschaftler
"Das Wichtigste im Leben ist, dass du deine Freude findest.", Oprah Winfrey,Moderatorin
"Es ist nie zu spät, der zu werden, der du hättest sein können.", George Eliot,Schriftstellerin
"Du kannst dein Leben nicht verlängern oder verbreitern. Du kannst es nur vertiefen!", Johann Wolfgang von Goethe,Dichter
"Wir sind, was wir wiederholt tun. Exzellenz ist daher keine Handlung, sondern eine Gewohnheit.", Aristoteles,Philosoph
"Die Qualität deines Lebens wird durch die Qualität deiner Gedanken bestimmt.", Marc Aurel,Kaiser und Philosoph
"Manchmal brauchst du einen schlechten Tag, um die guten zu schätzen.", Unbekannt,Unbekannt
"Die Zukunft hängt von dem ab, was du heute tust.", Mahatma Gandhi,Politiker
"Der einzige Weg, großartige Arbeit zu leisten, besteht darin, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Der Erfolg ist nicht endgültig, und das Versagen ist nicht fatal. Was zählt, ist der Mut, weiterzumachen.", Winston Churchill,Politiker
"Die Zukunft gehört denen, die die Schönheit ihrer Träume nie aus den Augen verlieren.", Eleanor Roosevelt,Politikerin
"Die beste Zeit für einen Neuanfang ist jetzt.", Unbekannt,Unbekannt
"Der Mensch ist nur dort ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Kreativität ist Intelligenz, die Spaß hat.", Albert Einstein,Wissenschaftler
"Die größten Entdeckungen entstehen oft aus einem Missverständnis.", Carl Gustav Jung,Psychiater
"Der einzige Weg, großartige Arbeit zu leisten, ist, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Die Zukunft gehört denen, die an die Schönheit ihrer Träume glauben.", Eleanor Roosevelt,Politikerin
"Die größte Ehre, die man einem Menschen antun kann, ist die, dass man zu ihm Vertrauen hat.", Matthias Claudius,Dichter
"Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.", Antoine de Saint-Exupéry,Schriftsteller
"Die Wahrheit ist wie ein Löwe. Du musst sie nicht verteidigen. Lass sie einfach los, und sie wird sich selbst verteidigen.", Augustinus von Hippo,Theologe
"Der Weg zur Spitze ist mit Leuten gepflastert, die dich runterziehen wollen.", Frank Sinatra,Musiker
"Das Schwierige am Leben ist, Herz und Kopf dazu zu bringen, zusammenzuarbeiten.", Woody Allen,Filmschaffender
"Der wirkliche Wert eines Menschen zeigt sich in seinem Charakter und in seiner Integrität.", Bob Marley,Musiker
"Die wahre Lebenskunst besteht darin, im Alltäglichen das Wunderbare zu sehen.", Pearl S. Buck,Schriftstellerin
"Der Mensch ist nur da ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Seien Sie die Veränderung, die Sie in der Welt sehen wollen.", Mahatma Gandhi,Politiker
"Die größte Freude ist die, die wir beim Erschaffen empfinden.", Albert Einstein,Wissenschaftler
"Das Wichtigste im Leben ist, dass du deine Freude findest.", Oprah Winfrey,Moderatorin
"Es ist nie zu spät, der zu werden, der du hättest sein können.", George Eliot,Schriftstellerin
"Du kannst dein Leben nicht verlängern oder verbreitern. Du kannst es nur vertiefen!", Johann Wolfgang von Goethe,Dichter
"Wir sind, was wir wiederholt tun. Exzellenz ist daher keine Handlung, sondern eine Gewohnheit.", Aristoteles,Philosoph
"Die Qualität deines Lebens wird durch die Qualität deiner Gedanken bestimmt.", Marc Aurel,Kaiser und Philosoph
"Manchmal brauchst du einen schlechten Tag, um die guten zu schätzen.", Unbekannt,Unbekannt
"Die Zukunft hängt von dem ab, was du heute tust.", Mahatma Gandhi,Politiker
"Der einzige Weg, großartige Arbeit zu leisten, besteht darin, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Der Erfolg ist nicht endgültig, und das Versagen ist nicht fatal. Was zählt, ist der Mut, weiterzumachen.", Winston Churchill,Politiker
"Die Zukunft gehört denen, die die Schönheit ihrer Träume nie aus den Augen verlieren.", Eleanor Roosevelt,Politikerin
"Die beste Zeit für einen Neuanfang ist jetzt.", Unbekannt,Unbekannt
"Der Mensch ist nur dort ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Kreativität ist Intelligenz, die Spaß hat.", Albert Einstein,Wissenschaftler
"Die größten Entdeckungen entstehen oft aus einem Missverständnis.", Carl Gustav Jung,Psychiater
"Der einzige Weg, großartige Arbeit zu leisten, ist, zu lieben, was du tust.", Steve Jobs,Unternehmer
"Die Zukunft gehört denen, die an die Schönheit ihrer Träume glauben.", Eleanor Roosevelt,Politikerin
"Die größte Ehre, die man einem Menschen antun kann, ist die, dass man zu ihm Vertrauen hat.", Matthias Claudius,Dichter
"Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.", Antoine de Saint-Exupéry,Schriftsteller
"Die Wahrheit ist wie ein Löwe. Du musst sie nicht verteidigen. Lass sie einfach los, und sie wird sich selbst verteidigen.", Augustinus von Hippo,Theologe
"Der Weg zur Spitze ist mit Leuten gepflastert, die dich runterziehen wollen.", Frank Sinatra,Musiker
"Das Schwierige am Leben ist, Herz und Kopf dazu zu bringen, zusammenzuarbeiten.", Woody Allen,Filmschaffender
"Der wirkliche Wert eines Menschen zeigt sich in seinem Charakter und in seiner Integrität.", Bob Marley,Musiker
"Die wahre Lebenskunst besteht darin, im Alltäglichen das Wunderbare zu sehen.", Pearl S. Buck,Schriftstellerin
"Der Mensch ist nur da ganz Mensch, wo er spielt.", Friedrich Schiller,Dichter
"Das größte Vergnügen im Leben besteht darin, Dinge zu tun, von denen die Leute sagen, du könntest sie nicht tun.", Walter Bagehot,Autor
"Seien Sie die Veränderung, die Sie in der Welt sehen wollen.", Mahatma Gandhi,Politiker
"Die größte Freude ist die, die wir beim Erschaffen empfinden.", Albert Einstein,Wissenschaftler
"Das Wichtigste im Leben ist, dass du deine Freude findest.", Oprah Winfrey,Moderatorin
"Es ist nie zu spät, der zu werden, der du hättest sein können.", George Eliot,Schriftstellerin
"Du kannst dein Leben nicht verlängern oder verbreitern. Du kannst es nur vertiefen!", Johann Wolfgang von Goethe,Dichter
"Wir sind, was wir wiederholt tun. Exzellenz ist daher keine Handlung, sondern eine Gewohnheit.", Aristoteles,Philosoph
"Die Qualität deines Lebens wird durch die Qualität deiner Gedanken bestimmt.", Marc Aurel,Kaiser und Philosoph
"Manchmal brauchst du einen schlechten Tag, um die guten zu schätzen.", Unbekannt,Unbekannt



"Die Macht möge mit dir sein.", Star Wars,Han Solo
"Ich komme wieder.", Terminator,Der Terminator
"Daheim ist es am schönsten.", Der Zauberer von Oz,Dorothy Gale
"Ich schau dir in die Augen, Kleines.", Casablanca,Rick Blaine
"Das Leben ist wie eine Schachtel Pralinen; man weiß nie, was man bekommt.", Forrest Gump,Forrest Gump
"Ich spüre das Bedürfnis – das Bedürfnis nach Geschwindigkeit.", Top Gun,Maverick
"Halte deine Freunde nahe bei dir, aber deine Feinde noch näher.", Der Pate II,Michael Corleone
"Warum so ernst?", The Dark Knight,Joker
"Mein lieber, ich habe keine Ahnung und ich mache mir auch keine Sorgen darüber.", Vom Winde verweht,Rhett Butler
"Hier ist Johnny!", Shining,Jack Torrance
"Ich bin der König der Welt!", Titanic,Jack Dawson
"Bis zur Unendlichkeit und noch viel weiter!", Toy Story,Buzz Lightyear
"Zeig mir das Geld!", Jerry Maguire, Jerry Maguire
"Man kann keinen Regenbogen machen, ohne ein bisschen Regen.", Familie Robinson,Unbekannt
"Ich bin Iron Man.", Iron Man,Tony Stark
"Ich schwöre feierlich, dass ich ein Tunichtgut bin.", Harry Potter und der Gefangene von Askaban,Fred und George Weasley
"Carpe diem. Nutze den Tag, Jungs.", Der Club der toten Dichter,John Keating
"Das Zeug, aus dem Träume gemacht sind.", Die Spur des Falken,Sam Spade
"Schnallt euch an. Es wird eine holprige Nacht.", Alles über Eva,Margo Channing
"Ray, wenn dich irgendjemand fragt, ob du ein Gott bist, dann sagst du: Ja!", Ghostbusters, Winston Zeddemore